,0
0,종로구
1,파주시
2,안양시 동안구
3,신안군
4,고양시 덕양구
5,영주시
6,과천시
7,충주시
8,관악구
9,가평군
10,서대문구
11,중구
12,구로구
13,고양시 일산서구
14,여수시
15,시흥시
16,하남시
17,창원시 마산회원구
18,창원시 마산합포구
19,화성시
20,안성시
21,포항시 북구
22,경주시
23,성북구
24,여주시
25,영광군
26,태백시
27,포천시
28,양산시
29,광진구
30,마포구
31,안산시 단원구
32,강북구
33,성동구
34,광주시
35,해남군
36,서구
37,동구
38,무안군
39,고성군
40,영등포구
41,포항시 남구
42,양주시
43,용인시 기흥구
44,제주시
45,청주시 흥덕구
46,진도군
47,원주시
48,기장군
49,홍천군
50,익산시
51,청주시 상당구
52,남구
53,함평군
54,연제구
55,청주시 청원구
56,양평군
57,서귀포시
58,진안군
59,거제시
60,완도군
61,칠곡군
62,담양군
63,옥천군
64,창녕군
65,사천시
66,광산구
67,성남시 분당구
68,음성군
69,동해시
70,강남구
71,부산진구
72,김해시
73,달서구
74,합천군
75,고령군
76,강서구
77,문경시
78,창원시 성산구
79,무주군
80,청도군
81,연수구
82,김포시
83,강릉시
84,목포시
85,화천군
86,울주군
87,영암군
88,안동시
89,구리시
90,서천군
91,산청군
92,태안군
93,창원시 의창구
94,양양군
95,계양구
96,안산시 상록구
97,북구
98,평창군
99,영도구
100,사하구
101,의령군
102,고흥군
103,옹진군
104,대덕구
105,경산시
106,논산시
107,영덕군
108,서초구
109,강동구
110,예천군
111,수성구
112,제천시
113,고창군
114,전주시 완산구
115,춘천시
116,정선군
117,횡성군
118,삼척시
119,영월군
120,강진군
121,순창군
122,강화군
123,순천시
124,성남시 수정구
125,청송군
126,의왕시
127,수영구
128,유성구
129,수원시 영통구
130,전주시 덕진구
131,천안시 서북구
132,해운대구
133,수원시 권선구
134,용산구
135,인제군
136,거창군
137,울진군
138,남해군
139,홍성군
140,동대문구
141,이천시
142,부안군
143,상주시
144,수원시 장안구
145,오산시
146,수원시 팔달구
147,의정부시
148,평택시
149,고양시 일산동구
150,동두천시
151,부천시
152,창원시 진해구
153,진주시
154,함안군
155,구미시
156,군위군
157,통영시
158,의성군
159,달성군
160,철원군
161,노원구
162,나주시
163,양천구
164,계룡시
165,공주시
166,예산군
167,용인시 수지구
168,연천군
169,남양주시
170,세종특별자치시
171,아산시
172,완주군
173,하동군
174,청양군
175,동작구
176,군산시
177,서산시
178,곡성군
179,속초시
180,용인시 처인구
181,영천시
182,천안시 동남구
183,진천군
184,성남시 중원구
185,금정구
186,남동구
187,미추홀구
188,청주시 서원구
189,광양시
190,보령시
191,밀양시
192,은평구
193,금산군
194,영동군
195,중랑구
196,장흥군
197,금천구
198,안양시 만안구
199,울릉군
200,송파구
201,광명시
202,당진시
203,양구군
204,괴산군
205,남원시
206,부여군
207,구례군
208,보은군
209,단양군
210,정읍시
211,영양군
212,도봉구
213,김천시
214,봉화군
215,장성군
216,함양군
217,군포시
218,화순군
219,동래구
220,김제시
221,보성군
222,증평군
223,임실군
224,성주군
225,부평구
226,장수군
227,사상구
